"dmuiid","lmapunitiid","muiid","MLRARSYM","Count","percentmlra","pmlra","mu.total","affinity","LRU","best","ofbest","compname","coiid","areasymbol","areaname","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","Site","grpname"
128427,170747,170747,"139",880,0.00258623400539171,0.00258623400539171,0.00475604382244002,54.3778422139281,"139",54.3778422139281,100,"Conotton",249221,"OH139","Richland County, Ohio","5qnz","Conotton gravelly loam, 2 to 12 percent slopes",17.5947082100221,TRUE,100,"alfisols","typic hapludalfs","Loamy-skeletal, mixed, mesic Typic Hapludalfs","well",7,112,250,0,48.9240005493164,38.7159994506836,12.36,1.57,5.45999987795949,5.80000019073486,0,62.9186681111654,25.7813318888346,11.3,0.921999998490016,9.93999977782369,"none",0,0,"outwash",NA,"outwash terrace","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
128435,170755,170755,"139",2425,0.00712683802622147,0.00712683802622147,0.00840184627096445,84.8246658695813,"139",84.8246658695813,100,"Frenchtown",249230,"OH139","Richland County, Ohio","5qp7","Frenchtown silt loam",17.5634613338043,TRUE,100,"alfisols","typic fragiaqualfs","Fine-loamy, mixed, mesic Typic Fragiaqualfs","poorly",1,250,250,0,23.0399997711182,53.8599990844727,23.1,2.3,9.89999994635582,5.80000019073486,0,27.8519995625814,49.1146661376953,23.0333333333333,0.973333333333333,19.9200002253056,"none",30,0,"till, ablation",NA,"depression & till plain","yes","no",25,"F139XY012OH","12-BEL Belmont, New York"
128439,170759,170759,"139",1520,0.00446713146385841,0.00446713146385841,0.00744411104936027,60.0089310091942,"139",60.0089310091942,100,"Pits, gravel",249234,"OH139","Richland County, Ohio","5qpc","Pits, gravel",17.5637472757896,TRUE,100,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"unranked","no",250,NA,"12-BEL Belmont, New York"
128449,1593248,1593248,"139",5,1.46945113942711e-05,1.46945113942711e-05,1.46945113942711e-05,100,"139",100,100,"Holly",249244,"OH117","Morrow County, Ohio","1qgx3","Holly silt loam",17.6612979888916,TRUE,95,"entisols","typic fluvaquents","Fine-loamy, mixed, nonacid, mesic Typic Fluvaquents","poorly",2,102,250,0,24.8999992370605,53.2600007629395,21.84,2.87,10.219999730587,6.19999980926514,0,25.1679997634888,54.0820011138916,20.75,1.4,29.2199994921684,"flood",36,0,"alluvium","siltstone","flood plain","yes","no",25,"F139XY009OH","12-BEL Belmont, New York"
128450,170770,170770,"139",808,0.00237463304131421,0.00237463304131421,0.00251957961289295,94.2471922364733,"139",94.2471922364733,100,"Landes",249245,"OH139","Richland County, Ohio","5qpq","Landes fine sandy loam",17.5460575326787,TRUE,85,"mollisols","fluventic hapludolls","Coarse-loamy, mixed, mesic Fluventic Hapludolls","well",1,33,250,0,69.2159989929199,17.9640010070801,12.82,1.16,6.32000004500151,6.69999980926514,0,76.8740013122559,11.1860002326965,11.94,0.72,14.6999999284744,"flood",0,0,"alluvium",NA,"flood plain","no","no",250,"F139XY008OH","12-BEL Belmont, New York"
128457,170777,170777,"139",11816,0.0347260693269414,0.0347260693269414,0.0622430122611721,55.7911130348746,"139",55.7911130348746,100,"Lordstown",249252,"OH139","Richland County, Ohio","5qpy","Lordstown silt loam, 12 to 18 percent slopes",17.5962700858353,TRUE,90,"inceptisols","typic dystrochrepts","Coarse-loamy, mixed, mesic Typic Dystrochrepts","well",15,250,91,0,30.7000007629395,56.2999992370605,13,2.7,9.80000004172325,5.8,0,35.5131870730893,51.9813184214162,12.5054945054945,1.65659340659341,14.8900000602007,"none",30,0,"till, unspecified & residuum","NA & sandstone and siltstone","hill","no","no",250,"F139XY007OH","12-BEL Belmont, New York"
128458,1592613,1592613,"139",3,8.81670683656265e-06,8.81670683656265e-06,8.81670683656265e-06,100,"139",100,100,"Lordstown",249253,"OH005","Ashland County, Ohio","1qg7m","Lordstown and Loudonville silt loams, 18 to 25 percent slopes",17.3808530171712,TRUE,46,"inceptisols","typic dystrochrepts","Coarse-loamy, mixed, mesic Typic Dystrochrepts","well",22,250,91,0,30.7000007629395,56.2999992370605,13,2.7,9.80000004172325,5.8,0,35.5131870730893,51.9813184214162,12.5054945054945,1.65659340659341,14.8900000602007,"none",30,0,"till, unspecified & residuum","NA & sandstone and siltstone","hill","no","no",250,"F139XY007OH","12-BEL Belmont, New York"
128458,1592613,1592613,"139",3,8.81670683656265e-06,8.81670683656265e-06,8.81670683656265e-06,100,"139",100,100,"Loudonville",249254,"OH005","Ashland County, Ohio","1qg7m","Lordstown and Loudonville silt loams, 18 to 25 percent slopes",17.3808530171712,TRUE,44,"alfisols","ultic hapludalfs","Fine-loamy, mixed, mesic Ultic Hapludalfs","well",22,250,97,0,30.6960000610352,49.1440013122559,20.16,1.62199999332428,9.72000020742416,5.7160001373291,0,42.5278344695101,36.394846650743,21.0773195876289,1.15103091284172,15.7000003680587,"none",36,0,"till, unspecified & residuum","NA & sandstone and siltstone","hill & till plain","no","no",250,"F139XY007OH","12-BEL Belmont, New York"
128458,170778,170778,"139",13935,0.0409536032558335,0.0409536032558335,0.0623788290295874,65.6530491080691,"139",65.6530491080691,100,"Loudonville",249254,"OH139","Richland County, Ohio","5qpz","Lordstown and Loudonville silt loams, 18 to 25 percent slopes",17.5886774089155,TRUE,44,"alfisols","ultic hapludalfs","Fine-loamy, mixed, mesic Ultic Hapludalfs","well",22,250,97,0,30.6960000610352,49.1440013122559,20.16,1.62199999332428,9.72000020742416,5.7160001373291,0,42.5278344695101,36.394846650743,21.0773195876289,1.15103091284172,15.7000003680587,"none",36,0,"till, unspecified & residuum","NA & sandstone and siltstone","hill & till plain","no","no",250,"F139XY007OH","12-BEL Belmont, New York"
128458,170778,170778,"139",13935,0.0409536032558335,0.0409536032558335,0.0623788290295874,65.6530491080691,"139",65.6530491080691,100,"Lordstown",249253,"OH139","Richland County, Ohio","5qpz","Lordstown and Loudonville silt loams, 18 to 25 percent slopes",17.5886774089155,TRUE,46,"inceptisols","typic dystrochrepts","Coarse-loamy, mixed, mesic Typic Dystrochrepts","well",22,250,91,0,30.7000007629395,56.2999992370605,13,2.7,9.80000004172325,5.8,0,35.5131870730893,51.9813184214162,12.5054945054945,1.65659340659341,14.8900000602007,"none",30,0,"till, unspecified & residuum","NA & sandstone and siltstone","hill","no","no",250,"F139XY007OH","12-BEL Belmont, New York"
128459,170779,170779,"139",2034,0.00597772723518948,0.00597772723518948,0.00994164894012763,60.1281263419138,"139",60.1281263419138,100,"Loudonville",249256,"OH139","Richland County, Ohio","5qq0","Lordstown and Loudonville silt loams, 25 to 40 percent slopes",17.5705029925932,TRUE,44,"alfisols","ultic hapludalfs","Fine-loamy, mixed, mesic Ultic Hapludalfs","well",33,250,97,0,30.6960000610352,49.1440013122559,20.16,1.62199999332428,9.72000020742416,5.7160001373291,0,42.5278344695101,36.394846650743,21.0773195876289,1.15103091284172,15.7000003680587,"none",36,0,"till, unspecified & residuum","NA & sandstone and siltstone","hill & till plain","no","no",250,"F139XY007OH","12-BEL Belmont, New York"
128459,170779,170779,"139",2034,0.00597772723518948,0.00597772723518948,0.00994164894012763,60.1281263419138,"139",60.1281263419138,100,"Lordstown",249255,"OH139","Richland County, Ohio","5qq0","Lordstown and Loudonville silt loams, 25 to 40 percent slopes",17.5705029925932,TRUE,46,"inceptisols","typic dystrochrepts","Coarse-loamy, mixed, mesic Typic Dystrochrepts","well",33,250,91,0,30.7000007629395,56.2999992370605,13,2.7,9.80000004172325,5.8,0,35.5131870730893,51.9813184214162,12.5054945054945,1.65659340659341,14.8900000602007,"none",30,0,"till, unspecified & residuum","NA & sandstone and siltstone","hill","no","no",250,"F139XY007OH","12-BEL Belmont, New York"
