"","dmuiid","lmapunitiid","muiid","MLRARSYM","Count","percentmlra","pmlra","mu.total","affinity","LRU","best","ofbest","compname","coiid","areasymbol","areaname","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","grpname"
"15110",124326,612241,612241,"98",540,0.00112713128785583,0.00112713128785583,0.00206250512773381,54.6486538481614,"98",54.6486538481614,100,"Urban land",243863,"IN141","St. Joseph County, Indiana","nk2q","Urban land-Rensselaer complex, 0 to 1 percent slopes",18.1391144850123,TRUE,50,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"till plain","unranked","no",250,"12-FIN Findlay, Ohio"
"15112",124326,612241,612241,"98",540,0.00112713128785583,0.00112713128785583,0.00206250512773381,54.6486538481614,"98",54.6486538481614,100,"Brookston",899288,"IN141","St. Joseph County, Indiana","nk2q","Urban land-Rensselaer complex, 0 to 1 percent slopes",18.1391144850123,FALSE,4,"mollisols","typic argiaquolls","Fine-loamy, mixed, superactive, mesic Typic Argiaquolls","poorly",1,122,250,5.54,35.46,37.76,26.78,2.975,9.41999989748001,6.86199991226196,6.59333333333333,36.2733333333333,36.8533333333333,26.8733333333333,1.63833333333333,24.7400000095367,"none",23,0,"till, unspecified",NA,"depression & till plain","yes","no",25,"12-FIN Findlay, Ohio"
"15114",124326,612241,612241,"98",540,0.00112713128785583,0.00112713128785583,0.00206250512773381,54.6486538481614,"98",54.6486538481614,100,"Rensselaer",899287,"IN141","St. Joseph County, Indiana","nk2q","Urban land-Rensselaer complex, 0 to 1 percent slopes",18.1391144850123,TRUE,40,"mollisols","typic argiaquolls","Fine-loamy, mixed, superactive, mesic Typic Argiaquolls","poorly",1,97,250,7.44,34,43.56,22.44,4.28,10.1399998366833,6.69999980926514,8.47333333333333,41.8533333333333,37.8066666666667,20.34,2.31833333333333,26.3200002163649,"none",38,0,"outwash",NA,"depression & outwash plain & till plain","yes","no",25,"12-FIN Findlay, Ohio"
"15230",124336,160700,160700,"97",4043,0.0404013191035684,0.0404013191035684,0.0716025755025785,56.4243937037062,"97",56.4243937037062,100,"Water",243882,"IN127","Porter County, Indiana","5d6w","Water",18.4549211874066,TRUE,100,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-IND Indianapolis, Indiana"
"15244",124336,272705,272705,"97",4488,0.0448481622895906,0.0448481622895906,0.073763254383418,60.8001404825117,"97",60.8001404825117,100,"Water",243882,"IN091","La Porte County, Indiana","94ry","Water",18.2586654311379,TRUE,100,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-IND Indianapolis, Indiana"
"15301",124336,272505,272505,"97",13035,0.130257530179326,0.130257530179326,0.186295204393166,69.9199588114056,"97",69.9199588114056,100,"Water",243882,"IN089","Lake County, Indiana","94kh","Water",18.7264330648117,TRUE,100,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-IND Indianapolis, Indiana"
"15314",124336,162635,162635,"98",11561,0.0241310459609282,0.0241310459609282,0.0241310459609282,100,"98",100,100,"Water",243882,"IN149","Starke County, Indiana","5g79","Water",18.2438128058674,TRUE,100,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-IND Indianapolis, Indiana"
"15378",124336,1404513,1404513,"98",5795,0.0120957885428232,0.0120957885428232,0.0205488812750695,58.8634893593848,"98",58.8634893593848,100,"Water",243882,"IN111","Newton County, Indiana","1j4hw","Water",18.7211498467932,TRUE,100,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-IND Indianapolis, Indiana"
"18734",125634,167961,167961,"99",820,0.00217110764086914,0.00217110764086914,0.00306073138022854,70.9342758692869,"99",70.9342758692869,100,"Chili",283859,"OH077","Huron County, Ohio","5ms3","Brecksville silt loam, 40 to 70 percent slopes",18.1959471618593,FALSE,5,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"outwash",NA,"terrace","no","no",250,"12-BEL Belmont, New York"
"18735",125634,167961,167961,"99",820,0.00217110764086914,0.00217110764086914,0.00306073138022854,70.9342758692869,"99",70.9342758692869,100,"Alexandria",283858,"OH077","Huron County, Ohio","5ms3","Brecksville silt loam, 40 to 70 percent slopes",18.1959471618593,FALSE,5,"alfisols","typic hapludalfs","Fine, illitic, mesic Typic Hapludalfs","well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"till, unspecified",NA,"till plain & moraine","no","no",250,"12-BEL Belmont, New York"
"18741",125634,167961,167961,"99",820,0.00217110764086914,0.00217110764086914,0.00306073138022854,70.9342758692869,"99",70.9342758692869,100,"Saylesville",283860,"OH077","Huron County, Ohio","5ms3","Brecksville silt loam, 40 to 70 percent slopes",18.1959471618593,FALSE,5,"alfisols","typic hapludalfs","Fine, illitic, mesic Typic Hapludalfs","well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"glaciolacustrine deposits",NA,"lake plain","no","no",250,"12-BEL Belmont, New York"
"18742",125634,167961,167961,"99",820,0.00217110764086914,0.00217110764086914,0.00306073138022854,70.9342758692869,"99",70.9342758692869,100,"Brecksville",245077,"OH077","Huron County, Ohio","5ms3","Brecksville silt loam, 40 to 70 percent slopes",18.1959471618593,TRUE,85,"inceptisols","typic dystrochrepts","Fine-loamy, mixed, mesic Typic Dystrochrepts","well",60,250,74,0,19.7400001525879,54.860001373291,25.4,0.5,7.69999995827675,5.5,0,19.2081083349279,55.0351365579141,25.7567567567568,0.418918918918919,11.0599999725819,"none",0,0,"residuum","shale, unspecified","hill","no","no",250,"12-BEL Belmont, New York"
"18756",125640,1605480,1605480,"99",977,0.00258679532332823,0.00258679532332823,0.00332649175943319,77.7634670518169,"99",77.7634670518169,100,"Chili",245083,"OH143","Sandusky County, Ohio","1qwmp","Chili loam, loamy substratum, 2 to 6 percent slopes",18.1085950925344,TRUE,85,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",5,114,250,0,40.0199996948242,40.9800003051758,19,1.18999998569489,7.09999978542328,5.66000003814697,0,48.4226669311523,34.9373330688477,16.64,0.665999989112218,17.8999997675419,"none",20,0,"outwash",NA,"terrace","no","no",250,"12-FIN Findlay, Ohio"
"18758",125640,1605480,1605480,"99",977,0.00258679532332823,0.00258679532332823,0.00332649175943319,77.7634670518169,"99",77.7634670518169,100,"Jimtown",283898,"OH143","Sandusky County, Ohio","1qwmp","Chili loam, loamy substratum, 2 to 6 percent slopes",18.1085950925344,FALSE,5,"alfisols","aeric ochraqualfs","Fine-loamy, mixed, mesic Aeric Ochraqualfs","somewhat poorly",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"outwash",NA,"terrace","no","no",50,"12-FIN Findlay, Ohio"
"18762",125640,1605480,1605480,"99",977,0.00258679532332823,0.00258679532332823,0.00332649175943319,77.7634670518169,"99",77.7634670518169,100,"Cardington",283897,"OH143","Sandusky County, Ohio","1qwmp","Chili loam, loamy substratum, 2 to 6 percent slopes",18.1085950925344,FALSE,5,"alfisols","aquic hapludalfs","Fine, illitic, mesic Aquic Hapludalfs","moderately well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"till, unspecified",NA,"ground moraine & end moraine","no","no",100,"12-FIN Findlay, Ohio"
"18767",125640,1605480,1605480,"99",977,0.00258679532332823,0.00258679532332823,0.00332649175943319,77.7634670518169,"99",77.7634670518169,100,"Oshtemo",283899,"OH143","Sandusky County, Ohio","1qwmp","Chili loam, loamy substratum, 2 to 6 percent slopes",18.1085950925344,FALSE,5,"alfisols","typic hapludalfs","Coarse-loamy, mixed, mesic Typic Hapludalfs","well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"outwash",NA,"terrace","no","no",250,"12-FIN Findlay, Ohio"
"18917",125651,167978,167978,"99",32139,0.0850941810608456,0.0850941810608456,0.108800598100158,78.2111335293494,"99",78.2111335293494,100,"Lenawee",284155,"OH077","Huron County, Ohio","5msn","Kibbie loam, 0 to 2 percent slopes",18.1394018532655,FALSE,2,"inceptisols","mollic haplaquepts","Fine, mixed, nonacid, mesic Mollic Haplaquepts","very poorly",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"glaciolacustrine deposits",NA,"depression","yes","no",0,"12-BEL Belmont, New York"
"18918",125651,1653922,1653922,"99",81,0.000214463071841952,0.000214463071841952,0.000214463071841952,100,"99",100,100,"Kibbie",245095,"OH043","Erie County, Ohio","1sj1b","Kibbie loam, 0 to 2 percent slopes",18.264270382163,TRUE,90,"alfisols","aquollic hapludalfs","Fine-loamy, mixed, mesic Aquollic Hapludalfs","somewhat poorly",2,23,250,0,33.8779996490479,44.9120003509521,21.21,1.285,10.0000001490116,6.60799989700317,0,29.225999883016,50.2173334503174,20.5566666666667,0.595,28.8600004017353,"none",23,0,"lacustrine deposits",NA,"flat & lake plain","no","no",50,"12-BEL Belmont, New York"
"18921",125651,167978,167978,"99",32139,0.0850941810608456,0.0850941810608456,0.108800598100158,78.2111335293494,"99",78.2111335293494,100,"Colwood",284154,"OH077","Huron County, Ohio","5msn","Kibbie loam, 0 to 2 percent slopes",18.1394018532655,FALSE,3,"mollisols","typic haplaquolls","Fine-loamy, mixed, mesic Typic Haplaquolls","poorly",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"glaciolacustrine deposits & outwash",NA,"depression","yes","no",25,"12-BEL Belmont, New York"
"18924",125651,167978,167978,"99",32139,0.0850941810608456,0.0850941810608456,0.108800598100158,78.2111335293494,"99",78.2111335293494,100,"Jimtown",284152,"OH077","Huron County, Ohio","5msn","Kibbie loam, 0 to 2 percent slopes",18.1394018532655,FALSE,3,"alfisols","aeric ochraqualfs","Fine-loamy, mixed, mesic Aeric Ochraqualfs","somewhat poorly",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"outwash",NA,"terrace","no","no",50,"12-BEL Belmont, New York"
"18926",125651,167978,167978,"99",32139,0.0850941810608456,0.0850941810608456,0.108800598100158,78.2111335293494,"99",78.2111335293494,100,"Kibbie",245095,"OH077","Huron County, Ohio","5msn","Kibbie loam, 0 to 2 percent slopes",18.1394018532655,TRUE,90,"alfisols","aquollic hapludalfs","Fine-loamy, mixed, mesic Aquollic Hapludalfs","somewhat poorly",2,23,250,0,33.8779996490479,44.9120003509521,21.21,1.285,10.0000001490116,6.60799989700317,0,29.225999883016,50.2173334503174,20.5566666666667,0.595,28.8600004017353,"none",23,0,"lacustrine deposits",NA,"flat & lake plain","no","no",50,"12-BEL Belmont, New York"
"18932",125651,1653922,1653922,"99",81,0.000214463071841952,0.000214463071841952,0.000214463071841952,100,"99",100,100,"Colwood",284154,"OH043","Erie County, Ohio","1sj1b","Kibbie loam, 0 to 2 percent slopes",18.264270382163,FALSE,3,"mollisols","typic haplaquolls","Fine-loamy, mixed, mesic Typic Haplaquolls","poorly",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"glaciolacustrine deposits & outwash",NA,"depression","yes","no",25,"12-BEL Belmont, New York"
"18933",125651,1653922,1653922,"99",81,0.000214463071841952,0.000214463071841952,0.000214463071841952,100,"99",100,100,"Lenawee",284155,"OH043","Erie County, Ohio","1sj1b","Kibbie loam, 0 to 2 percent slopes",18.264270382163,FALSE,2,"inceptisols","mollic haplaquepts","Fine, mixed, nonacid, mesic Mollic Haplaquepts","very poorly",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"glaciolacustrine deposits",NA,"depression","yes","no",0,"12-BEL Belmont, New York"
"18936",125651,1653922,1653922,"99",81,0.000214463071841952,0.000214463071841952,0.000214463071841952,100,"99",100,100,"Tuscola",284153,"OH043","Erie County, Ohio","1sj1b","Kibbie loam, 0 to 2 percent slopes",18.264270382163,FALSE,2,"alfisols","aquic hapludalfs","Fine-loamy, mixed, mesic Aquic Hapludalfs","moderately well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"glaciolacustrine deposits",NA,"lake plain & delta","no","no",100,"12-BEL Belmont, New York"
"18938",125651,167978,167978,"99",32139,0.0850941810608456,0.0850941810608456,0.108800598100158,78.2111335293494,"99",78.2111335293494,100,"Tuscola",284153,"OH077","Huron County, Ohio","5msn","Kibbie loam, 0 to 2 percent slopes",18.1394018532655,FALSE,2,"alfisols","aquic hapludalfs","Fine-loamy, mixed, mesic Aquic Hapludalfs","moderately well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"glaciolacustrine deposits",NA,"lake plain & delta","no","no",100,"12-BEL Belmont, New York"
"18945",125651,1653922,1653922,"99",81,0.000214463071841952,0.000214463071841952,0.000214463071841952,100,"99",100,100,"Jimtown",284152,"OH043","Erie County, Ohio","1sj1b","Kibbie loam, 0 to 2 percent slopes",18.264270382163,FALSE,3,"alfisols","aeric ochraqualfs","Fine-loamy, mixed, mesic Aeric Ochraqualfs","somewhat poorly",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"outwash",NA,"terrace","no","no",50,"12-BEL Belmont, New York"
"19129",125669,1653924,1653924,"99",19,5.0306152654285e-05,5.0306152654285e-05,5.0306152654285e-05,100,"99",100,100,"Prout",245113,"OH043","Erie County, Ohio","1sj1d","Prout silt loam, 0 to 2 percent slopes",18.2672858991121,TRUE,90,"ultisols","aeric ochraquults","Fine-loamy, mixed, mesic Aeric Ochraquults","somewhat poorly",2,250,66,0,21.8719998550415,51.7280011749268,26.4,1.785,9.1900001168251,5.04599995613098,0,20.9575757402362,51.5272739872788,27.5151515151515,1.53409090909091,11.9100001454353,"none",23,0,"till, unspecified & residuum","NA & shale, unspecified","lake plain & till plain","no","no",50,"12-BEL Belmont, New York"
"19132",125669,1653924,1653924,"99",19,5.0306152654285e-05,5.0306152654285e-05,5.0306152654285e-05,100,"99",100,100,"Fries",283363,"OH043","Erie County, Ohio","1sj1d","Prout silt loam, 0 to 2 percent slopes",18.2672858991121,FALSE,4,"mollisols","typic haplaquolls","Fine, illitic, mesic Typic Haplaquolls","very poorly",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"till, unspecified & residuum","NA & shale, unspecified","depression","yes","no",0,"12-BEL Belmont, New York"
"19135",125669,1653924,1653924,"99",19,5.0306152654285e-05,5.0306152654285e-05,5.0306152654285e-05,100,"99",100,100,"Bennington",283358,"OH043","Erie County, Ohio","1sj1d","Prout silt loam, 0 to 2 percent slopes",18.2672858991121,FALSE,2,"alfisols","aeric ochraqualfs","Fine, illitic, mesic Aeric Ochraqualfs","somewhat poorly",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"till, unspecified",NA,"flat & flat & rise & rise & ground moraine & end moraine","no","no",50,"12-BEL Belmont, New York"
"19138",125669,1653924,1653924,"99",19,5.0306152654285e-05,5.0306152654285e-05,5.0306152654285e-05,100,"99",100,100,"Pewamo",283356,"OH043","Erie County, Ohio","1sj1d","Prout silt loam, 0 to 2 percent slopes",18.2672858991121,FALSE,4,"mollisols","typic argiaquolls","Fine, mixed, mesic Typic Argiaquolls","very poorly",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"till, unspecified",NA,"depression","yes","no",0,"12-BEL Belmont, New York"
"19142",125670,167997,167997,"99",5076,0.013439685835429,0.013439685835429,0.0134678945978228,99.7905480905798,"99",99.7905480905798,100,"Saylesville",245114,"OH077","Huron County, Ohio","5mt8","Saylesville silt loam, 25 to 40 percent slopes",18.1785081685234,TRUE,90,"alfisols","typic hapludalfs","Fine, illitic, mesic Typic Hapludalfs","well",30,0,250,0,22.1860001754761,48.2440007019043,29.57,1.325,8.83999998867512,6.5,0,19.3953333918254,48.6580002339681,31.9466666666667,0.771666666666667,25.3899998962879,"none",23,0,"glaciolacustrine deposits",NA,"lake plain","no","no",250,"12-FIN Findlay, Ohio"
"19144",125670,167997,167997,"99",5076,0.013439685835429,0.013439685835429,0.0134678945978228,99.7905480905798,"99",99.7905480905798,100,"moderately steep slopes",283370,"OH077","Huron County, Ohio","5mt8","Saylesville silt loam, 25 to 40 percent slopes",18.1785081685234,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-FIN Findlay, Ohio"
"19145",125670,167997,167997,"99",5076,0.013439685835429,0.013439685835429,0.0134678945978228,99.7905480905798,"99",99.7905480905798,100,"Brecksville",283369,"OH077","Huron County, Ohio","5mt8","Saylesville silt loam, 25 to 40 percent slopes",18.1785081685234,FALSE,4,"inceptisols","typic dystrochrepts","Fine-loamy, mixed, mesic Typic Dystrochrepts","well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"residuum","shale, unspecified","hill","no","no",250,"12-FIN Findlay, Ohio"
"19146",125670,167997,167997,"99",5076,0.013439685835429,0.013439685835429,0.0134678945978228,99.7905480905798,"99",99.7905480905798,100,"less clay and more sand in the subsoil",283923,"OH077","Huron County, Ohio","5mt8","Saylesville silt loam, 25 to 40 percent slopes",18.1785081685234,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-FIN Findlay, Ohio"
"19161",125672,167999,167999,"99",2589,0.00685487522220757,0.00685487522220757,0.0112355974550243,61.0103312231271,"99",61.0103312231271,100,"Elnora",284236,"OH077","Huron County, Ohio","5mtb","Spinks loamy fine sand, 2 to 6 percent slopes",18.1154497427495,FALSE,3,"entisols","aquic udipsamments","Mixed, mesic Aquic Udipsamments","moderately well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"glaciolacustrine deposits & eolian deposits",NA,"beach ridge & longshore bar (relict)","no","no",100,"12-BEL Belmont, New York"
"19163",125672,167999,167999,"99",2589,0.00685487522220757,0.00685487522220757,0.0112355974550243,61.0103312231271,"99",61.0103312231271,100,"Spinks",245116,"OH077","Huron County, Ohio","5mtb","Spinks loamy fine sand, 2 to 6 percent slopes",18.1154497427495,TRUE,90,"alfisols","psammentic hapludalfs","Mixed, mesic Psammentic Hapludalfs","well",4,30,250,0,83.3199981689453,7.98000011444092,8.7,1.9,3.90000008046627,6.39999980926514,0,84.4399993896484,6.66000003814697,8.9,0.8,9.89999994635582,"none",30,0,"eolian deposits & outwash","sandstone","dune & dune & dune & beach ridge & beach ridge & beach ridge & moraine & outwash plain & lake plain","no","no",250,"12-BEL Belmont, New York"
"19166",125672,167999,167999,"99",2589,0.00685487522220757,0.00685487522220757,0.0112355974550243,61.0103312231271,"99",61.0103312231271,100,"Chili",284235,"OH077","Huron County, Ohio","5mtb","Spinks loamy fine sand, 2 to 6 percent slopes",18.1154497427495,FALSE,4,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"outwash",NA,"terrace","no","no",250,"12-BEL Belmont, New York"
"19169",125672,167999,167999,"99",2589,0.00685487522220757,0.00685487522220757,0.0112355974550243,61.0103312231271,"99",61.0103312231271,100,"Oshtemo",284234,"OH077","Huron County, Ohio","5mtb","Spinks loamy fine sand, 2 to 6 percent slopes",18.1154497427495,FALSE,3,"alfisols","typic hapludalfs","Coarse-loamy, mixed, mesic Typic Hapludalfs","well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"outwash",NA,"terrace","no","no",250,"12-BEL Belmont, New York"
"19190",125676,168003,168003,"99",10377,0.0274751024259745,0.0274751024259745,0.05459421751906,50.3260302547286,"99",50.3260302547286,100,"Colwood",284258,"OH077","Huron County, Ohio","5mtg","Tuscola fine sandy loam, 0 to 2 percent slopes",18.1173872384033,FALSE,3,"mollisols","typic haplaquolls","Fine-loamy, mixed, mesic Typic Haplaquolls","poorly",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"glaciolacustrine deposits & outwash",NA,"depression & drainageway","yes","no",25,"12-FIN Findlay, Ohio"
