"dmuiid","MLRA","LRU","compname","coiid","areasymbol","areaname","lmapunitiid","muiid","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","Site","grpname"
118415,"97","97B","Milford",236646,"IN089","Lake County, Indiana",272474,272474,"94jh","Milford-Palms-Wallkill complex",18.6996362363164,TRUE,40,"mollisols","typic endoaquolls","Fine, mixed, superactive, mesic Typic Endoaquolls","very poorly",1,33,250,0,9.32,53.32,37.36,3.725,10.1400002390146,6.56799993515015,1.12,11.4266666666667,55.0533333333333,33.52,1.88833333333333,26.8200009018183,"none",33,0,"lacustrine deposits",NA,"depression & lake plain","yes","no",0,"R097XB047IL","12-GRR Grand Rapids, Michigan"
118415,"97","97B","Palms",1254309,"IN089","Lake County, Indiana",272474,272474,"94jh","Milford-Palms-Wallkill complex",18.6996362363164,TRUE,35,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",1,89,250,0,0,0,0,75,20.0000002980232,6.5,4.47333333333333,16.6733333333333,15.4533333333333,8.54,45.11,46.5800009667873,"none",89,0,"organic, herbaceous material & glaciofluvial deposits","sandstone and shale","depression & lake plain & outwash plain & till plain","yes","no",0,"R097XB051IL","12-GRR Grand Rapids, Michigan"
118415,"97","97B","Wallkill",236648,"IN089","Lake County, Indiana",272474,272474,"94jh","Milford-Palms-Wallkill complex",18.6996362363164,TRUE,25,"inceptisols","fluvaquentic humaquepts","Fine-loamy, mixed, superactive, nonacid, mesic Fluvaquentic Humaquepts","very poorly",1,64,250,0,18.78,60.68,20.54,5.38,9.46000026166439,6.5,0,8.31333333333333,25.5466666666667,8.80666666666667,39.4333333333333,46.3800008744001,"none",152,0,"slope alluvium & organic, herbaceous material",NA,"depression & lake plain","yes","no",0,"R097XB047IL","12-GRR Grand Rapids, Michigan"
118423,"97","97B","Maumee",236671,"IN089","Lake County, Indiana",272482,272482,"94jr","Oakville fine sand, 12 to 25 percent slopes",18.9205616301578,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118423,"97","97B","Oakville",236670,"IN089","Lake County, Indiana",272482,272482,"94jr","Oakville fine sand, 12 to 25 percent slopes",18.9205616301578,TRUE,90,"entisols","typic udipsamments","Mixed, mesic Typic Udipsamments","well",18,250,250,0,93.6,3.4,3,0.35,3.99999991059303,6.44000000953674,0,93.8666666666667,3.13333333333333,3,0.283333333333333,11.9999997317791,"none",0,0,"eolian sands",NA,"dune","no","no",250,"F097XB040IN","12-GRR Grand Rapids, Michigan"
118423,"97","97B","Adrian",236672,"IN089","Lake County, Indiana",272482,272482,"94jr","Oakville fine sand, 12 to 25 percent slopes",18.9205616301578,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118424,"97","97B","Adrian",1254297,"IN089","Lake County, Indiana",272483,272483,"94js","Oakville-Adrian complex, 0 to 6 percent slopes",19.0232792678888,TRUE,40,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",1,86,250,0,0,0,0,75,20.0000002980232,6.73,3.84,37.9733333333333,2.56,2.13333333333333,43.1280000050863,38.2400004267693,"none",86,0,"organic, herbaceous material & outwash",NA,"depression & till plain & outwash plain & lake plain","yes","no",0,"R097XB051IL","12-GRR Grand Rapids, Michigan"
118424,"97","97B","Oakville",236673,"IN089","Lake County, Indiana",272483,272483,"94js","Oakville-Adrian complex, 0 to 6 percent slopes",19.0232792678888,TRUE,60,"entisols","typic udipsamments","Mixed, mesic Typic Udipsamments","well",3,250,250,0,93.6,3.4,3,0.35,3.99999991059303,6.44000000953674,0,93.8666666666667,3.13333333333333,3,0.283333333333333,11.9999997317791,"none",0,0,"eolian sands",NA,"dune","no","no",250,"F097XB033IN","12-GRR Grand Rapids, Michigan"
118425,"97","97B","Gilford",236676,"IN089","Lake County, Indiana",272484,272484,"94jt","Oshtemo fine sandy loam, 0 to 2 percent slopes",18.6207181700094,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118425,"97","97B","Oshtemo",236675,"IN089","Lake County, Indiana",272484,272484,"94jt","Oshtemo fine sandy loam, 0 to 2 percent slopes",18.6207181700094,TRUE,90,"alfisols","typic hapludalfs","Coarse-loamy, mixed, active, mesic Typic Hapludalfs","well",1,250,250,8.84,65.96,20.12,13.92,1.2,7.45999979972839,5.80000019073486,15.1,73.9,15.8666666666667,10.2333333333333,0.773333333333333,15.649999845773,"none",18,0,"outwash & outwash",NA,"outwash plain","no","no",250,"R097XB046IL","12-GRR Grand Rapids, Michigan"
118429,"97","97B","Pewamo",236682,"IN089","Lake County, Indiana",272488,272488,"94jy","Pewamo silty clay loam, calcareous variant",19.008377579434,TRUE,100,"mollisols","typic endoaquolls","Fine, mixed, superactive, calcareous, mesic Typic Endoaquolls","poorly",1,0,250,1.48,13.24,51.52,35.24,3.78,9.53999969363213,7.67199995040894,3.48,16.2133333333333,50.5066666666667,33.28,1.89,16.6199996247888,"none",38,0,"till, unspecified",NA,"depression & till plain","yes","no",25,"R097XB047IL","12-GRR Grand Rapids, Michigan"
118430,"97","97B","Plainfield",236683,"IN089","Lake County, Indiana",272489,272489,"94jz","Plainfield fine sand, 0 to 6 percent slopes",18.9023788093268,TRUE,90,"entisols","typic udipsamments","Mixed, mesic Typic Udipsamments","excessively",3,250,250,5.6,89.7,6.2,4.1,0.825,3.14999995753169,5.62000002861023,7.2,92.6,4.32,3.08,0.505,9.14999982342124,"none",0,0,"outwash",NA,"outwash plain","no","no",250,"F097XB033IN","12-GRR Grand Rapids, Michigan"
118430,"97","97B","Maumee",236684,"IN089","Lake County, Indiana",272489,272489,"94jz","Plainfield fine sand, 0 to 6 percent slopes",18.9023788093268,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118431,"97","97B","Plainfield",236685,"IN089","Lake County, Indiana",272490,272490,"94k0","Plainfield fine sand, 6 to 12 percent slopes",18.7384317720535,TRUE,90,"entisols","typic udipsamments","Mixed, mesic Typic Udipsamments","excessively",9,250,250,5.6,89.7,6.2,4.1,0.825,3.14999995753169,5.62000002861023,7.2,92.6,4.32,3.08,0.505,9.14999982342124,"none",0,0,"outwash",NA,"outwash plain","no","no",250,"F097XB033IN","12-GRR Grand Rapids, Michigan"
118431,"97","97B","Maumee",236686,"IN089","Lake County, Indiana",272490,272490,"94k0","Plainfield fine sand, 6 to 12 percent slopes",18.7384317720535,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118433,"97","97B","Rensselaer",236688,"IN089","Lake County, Indiana",272492,272492,"94k2","Rensselaer loam",18.7428881337048,TRUE,100,"mollisols","typic argiaquolls","Fine-loamy, mixed, superactive, mesic Typic Argiaquolls","poorly",1,25,250,8.5,34,42,24,3.25,9.75000001490116,6.69999980926514,9.52666666666667,38.8533333333333,38.32,22.8266666666667,1.94333333333333,26.6300005465746,"none",25,0,"outwash",NA,"depression & lake plain","yes","no",25,"R097XB047IL","12-GRR Grand Rapids, Michigan"
118436,"97","97B","Rensselaer",236691,"IN089","Lake County, Indiana",272495,272495,"94k5","Rensselaer loam, calcareous subsoil variant",18.9313204238136,TRUE,100,"mollisols","typic argiaquolls","Fine-loamy, mixed, superactive, mesic Typic Argiaquolls","poorly",1,41,250,7.08,41,37.82,21.18,3.96,10.2299997955561,7.10799998283386,6.04,26.96,45.3733333333333,27.6666666666667,1.915,15.2699998952448,"none",41,0,"outwash & lacustrine deposits",NA,"depression & lake plain","yes","no",25,"R097XB047IL","12-GRR Grand Rapids, Michigan"
118437,"97","97B","Sparta",236692,"IN089","Lake County, Indiana",272496,272496,"94k6","Sparta fine sand, 0 to 4 percent slopes",18.9323869072926,TRUE,90,"mollisols","entic hapludolls","Sandy, mixed, mesic Entic Hapludolls","excessively",2,250,250,3.52,85.04,9.64,5.32,1.17,3.99999991059303,6.02399997711182,6.50666666666667,92.72,4.52,2.76,0.583333333333333,10.1599997729063,"none",0,0,"outwash",NA,"outwash plain","no","no",250,"F097XB033IN","12-GRR Grand Rapids, Michigan"
118437,"97","97B","Maumee",236693,"IN089","Lake County, Indiana",272496,272496,"94k6","Sparta fine sand, 0 to 4 percent slopes",18.9323869072926,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118438,"97","97B","Sparta",236694,"IN089","Lake County, Indiana",272497,272497,"94k7","Sparta fine sand, silty clay loam substratum, 0 to 4 percent slopes",18.8364955715511,TRUE,90,"mollisols","entic hapludolls","Sandy, mixed, mesic Entic Hapludolls","moderately well",2,104,250,3.52,92.96,4.36,2.68,1.17,3.77999995648861,7,5.28,72.4,16.84,10.76,0.89,16.2999998629093,"none",0,0,"outwash & lacustrine deposits",NA,"outwash plain","no","no",100,"F097XB035IN","12-GRR Grand Rapids, Michigan"
118438,"97","97B","Wauseon",236696,"IN089","Lake County, Indiana",272497,272497,"94k7","Sparta fine sand, silty clay loam substratum, 0 to 4 percent slopes",18.8364955715511,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118438,"97","97B","Maumee",236695,"IN089","Lake County, Indiana",272497,272497,"94k7","Sparta fine sand, silty clay loam substratum, 0 to 4 percent slopes",18.8364955715511,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118440,"97","97B","Tracy",236698,"IN089","Lake County, Indiana",272499,272499,"94k9","Tracy loam, 0 to 2 percent slopes",18.6218803820039,TRUE,90,"alfisols","ultic hapludalfs","Coarse-loamy, mixed, active, mesic Ultic Hapludalfs","well",1,250,250,9,50.5,37.5,12,1.875,7.49999992549419,4.90000009536743,15.9066666666667,56.66,30.6733333333333,12.6666666666667,0.971666666666667,20.1199999302626,"none",25,0,"outwash",NA,"outwash plain","no","no",250,"F097XB033IN","12-GRR Grand Rapids, Michigan"
118440,"97","97B","poorly drained aqualfs",236699,"IN089","Lake County, Indiana",272499,272499,"94k9","Tracy loam, 0 to 2 percent slopes",18.6218803820039,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118441,"97","97B","poorly drained aqualfs",236701,"IN089","Lake County, Indiana",272500,272500,"94kb","Tracy loam, 2 to 6 percent slopes",18.5981621340006,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118441,"97","97B","Tracy",236700,"IN089","Lake County, Indiana",272500,272500,"94kb","Tracy loam, 2 to 6 percent slopes",18.5981621340006,TRUE,90,"alfisols","ultic hapludalfs","Coarse-loamy, mixed, active, mesic Ultic Hapludalfs","well",4,250,250,9,50.5,37.5,12,1.875,7.49999992549419,4.90000009536743,15.9066666666667,56.66,30.6733333333333,12.6666666666667,0.971666666666667,20.1199999302626,"none",25,0,"outwash",NA,"outwash plain","no","no",250,"F097XB033IN","12-GRR Grand Rapids, Michigan"
118445,"97","97B","Urban land",236708,"IN089","Lake County, Indiana",272504,272504,"94kg","Urban land",19.0021380100913,TRUE,100,NA,NA,NA,"well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"unranked","no",250,NA,"12-GRR Grand Rapids, Michigan"
118448,"97","97B","Warners",236711,"IN089","Lake County, Indiana",272507,272507,"94kk","Warners silt loam",18.9540309243965,TRUE,100,"mollisols","fluvaquentic endoaquolls","Fine-silty, carbonatic, mesic Fluvaquentic Endoaquolls","very poorly",1,41,250,0,20,58,22,6,10.4999996721745,7.90000009536743,3.21739130434783,65.0434782608696,25.1826086956522,9.77391304347826,2.62173913043478,18.9521733898184,"none",41,0,"alluvium & marl & outwash",NA,"depression & lake plain","yes","no",0,"R097XB047IL","12-GRR Grand Rapids, Michigan"
118449,"97","97B","Watseka",236712,"IN089","Lake County, Indiana",272508,272508,"94kl","Watseka loamy fine sand",18.9577778550252,TRUE,90,"mollisols","aquic hapludolls","Sandy, mixed, mesic Aquic Hapludolls","somewhat poorly",1,250,250,2,85.2,9.8,5,2.7,4.89999994635582,6.37999992370605,4,88.4,6.6,5,1.4,12.8999997675419,"none",30,0,"outwash",NA,"outwash plain","no","no",50,"F097XB035IN","12-GRR Grand Rapids, Michigan"
118449,"97","97B","Gilford",236713,"IN089","Lake County, Indiana",272508,272508,"94kl","Watseka loamy fine sand",18.9577778550252,FALSE,4,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118449,"97","97B","Wauseon",236715,"IN089","Lake County, Indiana",272508,272508,"94kl","Watseka loamy fine sand",18.9577778550252,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118449,"97","97B","Maumee",236714,"IN089","Lake County, Indiana",272508,272508,"94kl","Watseka loamy fine sand",18.9577778550252,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118450,"97","97B","Wauseon",236718,"IN089","Lake County, Indiana",272509,272509,"94km","Wateseka loamy sand, moderately deep variant",18.8847879586687,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118450,"97","97B","Maumee",236717,"IN089","Lake County, Indiana",272509,272509,"94km","Wateseka loamy sand, moderately deep variant",18.8847879586687,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118450,"97","97B","Watseka",236716,"IN089","Lake County, Indiana",272509,272509,"94km","Wateseka loamy sand, moderately deep variant",18.8847879586687,TRUE,90,"mollisols","aquic hapludolls","Sandy over clayey, mixed, active, mesic Aquic Hapludolls","somewhat poorly",1,38,250,1.2,83.92,11.84,4.24,3.98,5.01999998092651,7,1.7,55.44,25.58,18.98,1.82666666666667,8.96999996528029,"none",38,0,"outwash & lacustrine deposits",NA,"outwash plain","no","no",50,"F097XB035IN","12-GRR Grand Rapids, Michigan"
118451,"97","97B","Wauseon",236719,"IN089","Lake County, Indiana",272510,272510,"94kn","Wauseon fine sandy loam",18.9231041330479,TRUE,100,"mollisols","typic epiaquolls","Coarse-loamy over clayey, mixed over illitic, superactive, mesic Typic Epiaquolls","poorly",1,23,250,6.48,62.24,26.3,11.46,2.65,6.64999990165234,6.96999980926514,5.04,38.48,35.86,25.66,1.56333333333333,11.8899998515844,"none",23,0,"outwash & lacustrine deposits",NA,"depression & lake plain","yes","no",25,"R097XB047IL","12-GRR Grand Rapids, Michigan"
118452,"97","97B","Rensselaer",236721,"IN089","Lake County, Indiana",272511,272511,"94kp","Whitaker loam",18.7960618469648,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118452,"97","97B","Whitaker",236720,"IN089","Lake County, Indiana",272511,272511,"94kp","Whitaker loam",18.7960618469648,TRUE,90,"alfisols","aeric endoaqualfs","Fine-loamy, mixed, active, mesic Aeric Endoaqualfs","somewhat poorly",1,25,250,9,45.5,35,19.5,1.375,9.49999988079071,6.34999990463257,11,52.2333333333333,27.4,20.3666666666667,0.865,24.2600001096725,"none",25,0,"outwash",NA,"outwash plain","no","no",50,"R097XB046IL","12-GRR Grand Rapids, Michigan"
119581,"97","97B","Maumee",238225,"IN127","Porter County, Indiana",160638,160638,"5d4w","Brems sand, 0 to 3 percent slopes",18.5766598442833,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
119581,"97","97B","Newton",238226,"IN127","Porter County, Indiana",160638,160638,"5d4w","Brems sand, 0 to 3 percent slopes",18.5766598442833,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
119581,"97","97B","Brems",238224,"IN127","Porter County, Indiana",160638,160638,"5d4w","Brems sand, 0 to 3 percent slopes",18.5766598442833,TRUE,90,"entisols","aquic udipsamments","Mixed, mesic Aquic Udipsamments","moderately well",1,250,250,0,90.4,6.2,3.4,1,4.40000005066395,5.60000019073486,0,88.8,7.4,3.8,0.5,11.4000000804663,"none",0,0,"outwash",NA,"outwash plain","no","no",100,"F097XA006MI","12-GRR Grand Rapids, Michigan"
119584,"97","97B","Milford",238232,"IN127","Porter County, Indiana",160641,160641,"5d4z","Del Rey silt loam",18.6971730186543,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
119584,"97","97B","Del Rey",238231,"IN127","Porter County, Indiana",160641,160641,"5d4z","Del Rey silt loam",18.6971730186543,TRUE,90,"alfisols","aeric epiaqualfs","Fine, illitic, mesic Aeric Epiaqualfs","somewhat poorly",1,20,250,0,14.2,55,30.8,1.45,9.19999986886978,6.26000003814697,0,16.3266666666667,52.8066666666667,30.8666666666667,0.983333333333333,15.2599997334182,"none",20,0,"lacustrine deposits",NA,"lake plain","no","no",50,"R097XB046IL","12-GRR Grand Rapids, Michigan"
119586,"97","97B","Dune land",238235,"IN127","Porter County, Indiana",160643,160643,"5d51","Dune land",18.7606683727272,TRUE,100,NA,NA,NA,"well",43,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"eolian sands",NA,NA,"no","no",250,"R097XA001MI","12-GRR Grand Rapids, Michigan"
119590,"97","97B","Fluvaquents",238241,"IN127","Porter County, Indiana",160647,160647,"5d55","Fluvaquents",18.5016131598939,TRUE,100,"entisols",NA,"Loamy, mixed, mesic Fluvaquents","somewhat poorly",0.5,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"flood",0,NA,"alluvium",NA,"flood plain","no","no",50,"F097XB044IN","12-GRR Grand Rapids, Michigan"
119593,"97","97B","Pewamo",238248,"IN127","Porter County, Indiana",160650,160650,"5d58","Haskins loam, 0 to 2 percent slopes",18.4342862336702,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
