"Series","ES","dmuiid","MLRA","LRU","coiid","areasymbol","areaname","lmapunitiid","muiid","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","grpname","Site111"
"Adyeville","F114AY302IN",749816,"114A",NA,2454961,"IN119","Owen County, Indiana",166352,2656400,"2w56b","Wellston silt loam, 12 to 18 percent slopes, eroded",19.6270783991605,FALSE,4,"ultisols","typic hapludults","Coarse-loamy, mixed, semiactive, mesic Typic Hapludults","somewhat excessively",15,250,61,10.8,37.2,46.7,16.1,1.31499998569489,8.95000010728836,4.77000002861023,11.5573770491803,38.0655737704918,45.672131147541,16.2622950819672,1.12295080794663,10.8200001269579,"none",15,0,"residuum","sandstone and shale","hill","no","no",250,"12-IND Indianapolis, Indiana","F111DY023IN"
"Adyeville","F114AY302IN",124865,"114A",NA,2375224,"IN101","Martin County, Indiana",1708168,1708168,"1vbh6","Tipsaw-Rock outcrop complex, 35 to 70 percent slopes",19.520135362035,FALSE,12,"ultisols","typic hapludults","Coarse-loamy, mixed, semiactive, mesic Typic Hapludults","somewhat excessively",40,250,89,12.6,34,50.6,15.4,0.959999990463257,8.0000002682209,4.68000001907349,13.2134831460674,34.876404494382,49.0224719101124,16.1011235955056,0.648876399136661,13.850000500679,"none",10,0,"residuum","sandstone and shale","hill","no","no",250,"6-OWN Owensboro, Kentucky","F111DY023IN"
"Adyeville","F114AY302IN",124866,"114A",NA,2375222,"IN119","Owen County, Indiana",166320,166320,"5l25","Tulip-Tipsaw complex, 25 to 60 percent slopes",19.6245282151149,FALSE,6,"ultisols","typic hapludults","Coarse-loamy, mixed, semiactive, mesic Typic Hapludults","somewhat excessively",21,250,89,12.6,34,50.6,15.4,0.959999990463257,8.0000002682209,4.68000001907349,13.2134831460674,34.876404494382,49.0224719101124,16.1011235955056,0.648876399136661,13.850000500679,"none",10,0,"residuum","sandstone and shale","hill","no","no",250,"6-OWN Owensboro, Kentucky","F111DY023IN"
"Alfic Udarents",NA,570978,"114A",NA,1933454,"OH061","Hamilton County, Ohio",2652881,2501444,"2pyyr","Urban land-Alfic Udarents-Fox complex, 0 to 12 percent slopes",20.3074870098495,TRUE,30,"entisols","alfic udarents","Alfic Udarents","well",6,0,250,10,55.5,14.5,30,0.25,6.49999976158142,7,26.8,74.82,11.42,13.76,0.25,11.0999996289611,"none",0,0,"outwash",NA,"outwash terrace","no","no",250,"6-OWN Owensboro, Kentucky","R111CY010IN"
"Alford","F114AY802IN",782938,"114A",NA,2484969,"IL101","Lawrence County, Illinois",176694,2681396,"2x06n","Hosmer silt loam, 2 to 5 percent slopes, eroded",20.9381509300096,FALSE,10,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4,250,250,0,3.6,71.1,25.3,0.8,9.45000015199184,5.27000002861023,0,3.2,74.2333333333333,22.5666666666667,0.458333333333333,28.3000000566244,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",782938,"114A",NA,2484969,"IN125","Pike County, Indiana",161913,2681396,"2x06n","Hosmer silt loam, 2 to 5 percent slopes, eroded",20.9381509300096,FALSE,10,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4,250,250,0,3.6,71.1,25.3,0.8,9.45000015199184,5.27000002861023,0,3.2,74.2333333333333,22.5666666666667,0.458333333333333,28.3000000566244,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",782938,"114A",NA,2484969,"IN129","Posey County, Indiana",159889,2681396,"2x06n","Hosmer silt loam, 2 to 5 percent slopes, eroded",20.9381509300096,FALSE,10,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4,250,250,0,3.6,71.1,25.3,0.8,9.45000015199184,5.27000002861023,0,3.2,74.2333333333333,22.5666666666667,0.458333333333333,28.3000000566244,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",128996,"114A",NA,250246,"OH165","Warren County, Ohio",171313,171313,"5r87","Alford silt loam, till substratum, 1 to 4 percent slopes",19.3206167285507,TRUE,100,"alfisols","typic hapludalfs","Fine-silty, mixed, mesic Typic Hapludalfs","well",3,250,250,0,9.76000022888184,67.0400009155273,23.2,0.95,10.6000000238419,5.48000001907349,0,9.42000007629395,62.9300003051758,27.65,0.625,29.1000002995133,"none",0,0,"loess","siltstone","hill","no","no",250,"12-IND Indianapolis, Indiana","Not"
"Alford","F114AY802IN",749669,"114A",NA,2568964,"IN121","Parke County, Indiana",159790,2652245,"2w0w9","Russell loam, 2 to 6 percent slopes",19.8370258442309,FALSE,5,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",6,250,250,0,9.8,67.6,22.6,1,9.6000000834465,5,0,9.26666666666667,66.5333333333333,24.2,0.666666666666667,27.6000007987022,"none",0,0,"loess","siltstone","loess hill","no","no",250,"12-IND Indianapolis, Indiana","Not"
"Alford","F114AY802IN",782943,"114A",NA,2484978,"IN129","Posey County, Indiana",159891,2681400,"2x06s","Hosmer silt loam, 10 to 18 percent slopes, severely eroded",20.8277167210602,FALSE,5,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",14,250,250,0,3.4,70.4,26.2,0.6,9.30000022053719,5.18000001907349,0,3.13333333333333,71.4933333333333,25.3733333333333,0.47,27.6800005733967,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",782943,"114A",NA,2484978,"IN027","Daviess County, Indiana",162951,2681400,"2x06s","Hosmer silt loam, 10 to 18 percent slopes, severely eroded",20.8277167210602,FALSE,5,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",14,250,250,0,3.4,70.4,26.2,0.6,9.30000022053719,5.18000001907349,0,3.13333333333333,71.4933333333333,25.3733333333333,0.47,27.6800005733967,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",118681,"114A",NA,237027,"IN133","Putnam County, Indiana",159814,159814,"5c99","Alford silt loam, 2 to 6 percent slopes",19.4501048710355,TRUE,100,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4,250,250,0,4.08,71.9,24.02,1.35259997367859,10.1899999082088,5.57600014686584,0,4.69333333333333,69.8,25.5066666666667,0.86753332455953,29.6899995654821,"none",23,0,"loess","siltstone","loess hill","no","no",250,"12-IND Indianapolis, Indiana","Not"
"Alford","F114AY802IN",749616,"114A",NA,2504154,"IN121","Parke County, Indiana",159716,2652212,"2w0v7","Alford silt loam, 6 to 12 percent slopes, eroded",19.6600859834764,TRUE,100,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",6,250,250,0,3.46,76.9,19.64,1.35259997367859,10.4200000315905,5.57600014686584,0,3.76666666666667,75.6733333333333,20.56,0.79753332455953,30.3399996012449,"none",23,0,"loess","siltstone","loess hill","no","no",250,"12-IND Indianapolis, Indiana","Not"
"Alford","F114AY802IN",782938,"114A",NA,2484969,"IL193","White County, Illinois",1543887,2681396,"2x06n","Hosmer silt loam, 2 to 5 percent slopes, eroded",20.9381509300096,FALSE,10,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4,250,250,0,3.6,71.1,25.3,0.8,9.45000015199184,5.27000002861023,0,3.2,74.2333333333333,22.5666666666667,0.458333333333333,28.3000000566244,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",749616,"114A",NA,2504154,"IN109","Morgan County, Indiana",163189,2652212,"2w0v7","Alford silt loam, 6 to 12 percent slopes, eroded",19.6600859834764,TRUE,100,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",6,250,250,0,3.46,76.9,19.64,1.35259997367859,10.4200000315905,5.57600014686584,0,3.76666666666667,75.6733333333333,20.56,0.79753332455953,30.3399996012449,"none",23,0,"loess","siltstone","loess hill","no","no",250,"12-IND Indianapolis, Indiana","Not"
"Alford","F114AY802IN",782943,"114A",NA,2484978,"IN173","Warrick County, Indiana",159956,2681400,"2x06s","Hosmer silt loam, 10 to 18 percent slopes, severely eroded",20.8277167210602,FALSE,5,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",14,250,250,0,3.4,70.4,26.2,0.6,9.30000022053719,5.18000001907349,0,3.13333333333333,71.4933333333333,25.3733333333333,0.47,27.6800005733967,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",782938,"114A",NA,2484969,"IN083","Knox County, Indiana",164484,2681396,"2x06n","Hosmer silt loam, 2 to 5 percent slopes, eroded",20.9381509300096,FALSE,10,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4,250,250,0,3.6,71.1,25.3,0.8,9.45000015199184,5.27000002861023,0,3.2,74.2333333333333,22.5666666666667,0.458333333333333,28.3000000566244,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",749616,"114A",NA,2504154,"IN133","Putnam County, Indiana",159815,2652212,"2w0v7","Alford silt loam, 6 to 12 percent slopes, eroded",19.6600859834764,TRUE,100,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",6,250,250,0,3.46,76.9,19.64,1.35259997367859,10.4200000315905,5.57600014686584,0,3.76666666666667,75.6733333333333,20.56,0.79753332455953,30.3399996012449,"none",23,0,"loess","siltstone","loess hill","no","no",250,"12-IND Indianapolis, Indiana","Not"
"Alford","F114AY802IN",358272,"114A",NA,1367705,"IN037","Dubois County, Indiana",535614,535614,"kzbw","Alford silt loam, 2 to 6 percent slopes",20.5468621143075,TRUE,100,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4.09999990463257,250,250,0,3,75.24,21.76,1.5295999622345,9.98999990522861,5.5940000629425,0,4.26666666666667,74.22,21.5133333333333,0.701533321142197,28.8999999016523,"none",33,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",782938,"114A",NA,2484969,"IL185","Wabash County, Illinois",179646,2681396,"2x06n","Hosmer silt loam, 2 to 5 percent slopes, eroded",20.9381509300096,FALSE,10,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4,250,250,0,3.6,71.1,25.3,0.8,9.45000015199184,5.27000002861023,0,3.2,74.2333333333333,22.5666666666667,0.458333333333333,28.3000000566244,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",782943,"114A",NA,2484978,"IN163","Vanderburgh County, Indiana",162746,2681400,"2x06s","Hosmer silt loam, 10 to 18 percent slopes, severely eroded",20.8277167210602,FALSE,5,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",14,250,250,0,3.4,70.4,26.2,0.6,9.30000022053719,5.18000001907349,0,3.13333333333333,71.4933333333333,25.3733333333333,0.47,27.6800005733967,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",358173,"114A",NA,1364786,"IN105","Monroe County, Indiana",535515,535515,"kz7p","Alford silt loam, 2 to 6 percent slopes",19.4643723832326,TRUE,100,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4.09999990463257,250,250,0,3,74.06,22.94,1.21759997367859,9.6900000423193,5.41400004386902,0,3,70.6866666666667,26.3133333333333,0.739199991226196,27.690000757575,"none",23,0,"loess & loess","siltstone","loess hill","no","no",250,"State Office IN - Region 6","Not"
"Alford","F114AY802IN",122131,"114A",NA,242023,"IN109","Morgan County, Indiana",163188,163188,"5gt4","Alford silt loam, 2 to 6 percent slopes",19.5418080536856,TRUE,100,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4,250,250,0,3,74,23,1.27399997711182,10.3000000119209,5.08000011444092,0,3.64,74.8533333333333,21.5066666666667,0.764666659037272,30.2599995732307,"none",20,0,"loess","siltstone","loess hill","no","no",250,"12-IND Indianapolis, Indiana","Not"
"Alford","F114AY802IN",782943,"114A",NA,2484978,"IN083","Knox County, Indiana",164486,2681400,"2x06s","Hosmer silt loam, 10 to 18 percent slopes, severely eroded",20.8277167210602,FALSE,5,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",14,250,250,0,3.4,70.4,26.2,0.6,9.30000022053719,5.18000001907349,0,3.13333333333333,71.4933333333333,25.3733333333333,0.47,27.6800005733967,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",782943,"114A",NA,2484978,"IN125","Pike County, Indiana",161915,2681400,"2x06s","Hosmer silt loam, 10 to 18 percent slopes, severely eroded",20.8277167210602,FALSE,5,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",14,250,250,0,3.4,70.4,26.2,0.6,9.30000022053719,5.18000001907349,0,3.13333333333333,71.4933333333333,25.3733333333333,0.47,27.6800005733967,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",782938,"114A",NA,2484969,"IN051","Gibson County, Indiana",160125,2681396,"2x06n","Hosmer silt loam, 2 to 5 percent slopes, eroded",20.9381509300096,FALSE,10,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4,250,250,0,3.6,71.1,25.3,0.8,9.45000015199184,5.27000002861023,0,3.2,74.2333333333333,22.5666666666667,0.458333333333333,28.3000000566244,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",122130,"114A",NA,242022,"IN109","Morgan County, Indiana",163187,163187,"5gt3","Alford silt loam, 0 to 2 percent slopes",19.5418939926213,TRUE,100,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",1,250,250,0,3,74,23,1.27399997711182,10.3000000119209,5.08000011444092,0,3.64,74.8533333333333,21.5066666666667,0.764666659037272,30.2599995732307,"none",20,0,"loess","siltstone","loess hill","no","no",250,"12-IND Indianapolis, Indiana","Not"
"Alford","F114AY802IN",782938,"114A",NA,2484969,"IN163","Vanderburgh County, Indiana",162742,2681396,"2x06n","Hosmer silt loam, 2 to 5 percent slopes, eroded",20.9381509300096,FALSE,10,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4,250,250,0,3.6,71.1,25.3,0.8,9.45000015199184,5.27000002861023,0,3.2,74.2333333333333,22.5666666666667,0.458333333333333,28.3000000566244,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",782938,"114A",NA,2484969,"IN147","Spencer County, Indiana",160019,2681396,"2x06n","Hosmer silt loam, 2 to 5 percent slopes, eroded",20.9381509300096,FALSE,10,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4,250,250,0,3.6,71.1,25.3,0.8,9.45000015199184,5.27000002861023,0,3.2,74.2333333333333,22.5666666666667,0.458333333333333,28.3000000566244,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",782943,"114A",NA,2484978,"IL059","Gallatin County, Illinois",211632,2681400,"2x06s","Hosmer silt loam, 10 to 18 percent slopes, severely eroded",20.8277167210602,FALSE,5,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",14,250,250,0,3.4,70.4,26.2,0.6,9.30000022053719,5.18000001907349,0,3.13333333333333,71.4933333333333,25.3733333333333,0.47,27.6800005733967,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Alford","F114AY802IN",782938,"114A",NA,2484969,"IN027","Daviess County, Indiana",162946,2681396,"2x06n","Hosmer silt loam, 2 to 5 percent slopes, eroded",20.9381509300096,FALSE,10,"alfisols","ultic hapludalfs","Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","well",4,250,250,0,3.6,71.1,25.3,0.8,9.45000015199184,5.27000002861023,0,3.2,74.2333333333333,22.5666666666667,0.458333333333333,28.3000000566244,"none",0,0,"loess & loess","siltstone","loess hill","no","no",250,"11-MAN Marion, Illinois","Not"
"Algiers","F114AY204IN",749644,"114A",NA,2504246,"OH017","Butler County, Ohio",169753,2652216,"2w0vc","Eel silt loam, 0 to 2 percent slopes, occasionally flooded",19.4495291755392,FALSE,5,"entisols","aquic udifluvents","Fine-loamy, mixed, superactive, nonacid, mesic Aquic Udifluvents","somewhat poorly",1,81,250,3,18.2400001525879,65.8600006103516,15.8999998092651,3,10.4999996721745,7,5.76,25.3480001068115,50.9433335367839,23.7086666170756,1.75033333142598,29.8900000154972,"flood",61,0,"alluvium & outwash",NA,"flood-plain step & flood plain & terrace","no","no",50,"12-IND Indianapolis, Indiana","F111DY003IN"
"Algiers","F114AY204IN",749644,"114A",NA,2504246,"OH109","Miami County, Ohio",169479,2652216,"2w0vc","Eel silt loam, 0 to 2 percent slopes, occasionally flooded",19.4495291755392,FALSE,5,"entisols","aquic udifluvents","Fine-loamy, mixed, superactive, nonacid, mesic Aquic Udifluvents","somewhat poorly",1,81,250,3,18.2400001525879,65.8600006103516,15.8999998092651,3,10.4999996721745,7,5.76,25.3480001068115,50.9433335367839,23.7086666170756,1.75033333142598,29.8900000154972,"flood",61,0,"alluvium & outwash",NA,"flood-plain step & flood plain & terrace","no","no",50,"12-IND Indianapolis, Indiana","F111DY003IN"
"Algiers","F114AY204IN",749644,"114A",NA,2504246,"OH025","Clermont County, Ohio",168784,2652216,"2w0vc","Eel silt loam, 0 to 2 percent slopes, occasionally flooded",19.4495291755392,FALSE,5,"entisols","aquic udifluvents","Fine-loamy, mixed, superactive, nonacid, mesic Aquic Udifluvents","somewhat poorly",1,81,250,3,18.2400001525879,65.8600006103516,15.8999998092651,3,10.4999996721745,7,5.76,25.3480001068115,50.9433335367839,23.7086666170756,1.75033333142598,29.8900000154972,"flood",61,0,"alluvium & outwash",NA,"flood-plain step & flood plain & terrace","no","no",50,"12-IND Indianapolis, Indiana","F111DY003IN"
"Algiers","F114AY204IN",749644,"114A",NA,2504246,"OH071","Highland County, Ohio",1420409,2652216,"2w0vc","Eel silt loam, 0 to 2 percent slopes, occasionally flooded",19.4495291755392,FALSE,5,"entisols","aquic udifluvents","Fine-loamy, mixed, superactive, nonacid, mesic Aquic Udifluvents","somewhat poorly",1,81,250,3,18.2400001525879,65.8600006103516,15.8999998092651,3,10.4999996721745,7,5.76,25.3480001068115,50.9433335367839,23.7086666170756,1.75033333142598,29.8900000154972,"flood",61,0,"alluvium & outwash",NA,"flood-plain step & flood plain & terrace","no","no",50,"12-IND Indianapolis, Indiana","F111DY003IN"
"Algiers","F114AY204IN",749644,"114A",NA,2504246,"OH021","Champaign County, Ohio",171435,2652216,"2w0vc","Eel silt loam, 0 to 2 percent slopes, occasionally flooded",19.4495291755392,FALSE,5,"entisols","aquic udifluvents","Fine-loamy, mixed, superactive, nonacid, mesic Aquic Udifluvents","somewhat poorly",1,81,250,3,18.2400001525879,65.8600006103516,15.8999998092651,3,10.4999996721745,7,5.76,25.3480001068115,50.9433335367839,23.7086666170756,1.75033333142598,29.8900000154972,"flood",61,0,"alluvium & outwash",NA,"flood-plain step & flood plain & terrace","no","no",50,"12-IND Indianapolis, Indiana","F111DY003IN"
"Algiers","F114AY204IN",127339,"114A",NA,247483,"OH015","Brown County, Ohio",169704,169704,"5plb","Algiers silt loam, frequently flooded",19.2313842589597,TRUE,85,"entisols","aquic udifluvents","Fine-loamy, mixed, nonacid, mesic Aquic Udifluvents","somewhat poorly",1,13,250,0,29.0379998016357,46.2620001983643,24.7,1.335,9.00000035762787,6.92199995040894,0,34.8793332672119,43.1940000661214,21.9266666666667,0.867000002066294,23.1000008694828,"flood",13,0,"alluvium",NA,"flood plain & terrace","no","no",50,"12-IND Indianapolis, Indiana","F111DY003IN"
"Algiers","F114AY204IN",129174,"114A",NA,250557,"OH071","Highland County, Ohio",1420347,1420347,"1jnzn","Algiers silt loam",19.0484193856476,TRUE,95,"entisols","aquic udifluvents","Fine-loamy, mixed, nonacid, mesic Aquic Udifluvents","somewhat poorly",1,56,250,0,26.2999992370605,52.7000007629395,21,3,10.0000001490116,6.69999980926514,0,28.3413329060872,51.5786663818359,20.08,1.47600000301997,26.9800007939339,"flood",56,0,"alluvium",NA,"flood plain & terrace","no","no",50,"12-IND Indianapolis, Indiana","F111DY003IN"
"Algiers","F114AY204IN",129334,"114A",NA,1308812,"OH071","Highland County, Ohio",1420507,1420507,"1jp4t","Patton silt loam, till substratum",19.0342285076301,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"alluvium",NA,"flood plain","no","no",250,"12-IND Indianapolis, Indiana","F111DY004IN"
"Algiers","F114AY204IN",129189,"114A",NA,1308154,"OH071","Highland County, Ohio",1420362,1420362,"1jp04","Blanchester silt loam",19.0374605096698,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"alluvium",NA,"flood plain","no","no",250,"12-IND Indianapolis, Indiana","F111DY004IN"
