"dmuiid","MLRA","LRU","compname","coiid","areasymbol","areaname","lmapunitiid","muiid","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","grpname","Site111"
119160,"111C",NA,"Blount",237655,"IN087","Lagrange County, Indiana",272587,272587,"94n4","Blount silt loam, 0 to 3 percent slopes",18.0305349392918,TRUE,90,"alfisols","aeric epiaqualfs","Fine, illitic, mesic Aeric Epiaqualfs","somewhat poorly",2,69,250,6.24,20.54,52.62,26.84,1.555,8.55999974161386,6.36600011825562,5.41333333333333,23.2333333333333,45.8866666666667,30.88,1.01833333333333,11.5099997110665,"none",23,0,"loess & till, unspecified","limestone and shale","till plain","no","no",50,"12-FIN Findlay, Ohio","R111CY006IN"
119160,"111C",NA,"Pewamo",237656,"IN087","Lagrange County, Indiana",272587,272587,"94n4","Blount silt loam, 0 to 3 percent slopes",18.0305349392918,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-FIN Findlay, Ohio",NA
119160,"111C",NA,"Chelsea",1506999,"IN087","Lagrange County, Indiana",272587,272587,"94n4","Blount silt loam, 0 to 3 percent slopes",18.0305349392918,FALSE,7,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-FIN Findlay, Ohio",NA
119162,"111C",NA,"Boyer",237659,"IN087","Lagrange County, Indiana",272589,272589,"94n6","Boyer loamy sand, 2 to 6 percent slopes",17.8732774342381,TRUE,100,"alfisols","typic hapludalfs","Coarse-loamy, mixed, superactive, mesic Typic Hapludalfs","well",5,91,250,11,80.8,13.56,5.64,1.375,7.91999983787537,6.31600017547607,19.26,81.4666666666667,11.6466666666667,6.88666666666667,0.958333333333333,15.4299998227507,"none",25,0,"outwash & outwash",NA,"outwash plain","no","no",250,"12-GRR Grand Rapids, Michigan","R111CY001IN"
119163,"111C",NA,"Boyer",237660,"IN087","Lagrange County, Indiana",272590,272590,"94n7","Boyer loamy sand, 6 to 12 percent slopes",17.8824103328437,TRUE,100,"alfisols","typic hapludalfs","Coarse-loamy, mixed, superactive, mesic Typic Hapludalfs","well",9,91,250,11,80.8,13.56,5.64,1.375,7.91999983787537,6.31600017547607,19.26,81.4666666666667,11.6466666666667,6.88666666666667,0.958333333333333,15.4299998227507,"none",25,0,"outwash & outwash",NA,"outwash plain","no","no",250,"12-GRR Grand Rapids, Michigan","R111CY001IN"
119164,"111C",NA,"Boyer",237661,"IN087","Lagrange County, Indiana",272591,272591,"94n8","Boyer loamy sand, 12 to 18 percent slopes",17.8633514188292,TRUE,100,"alfisols","typic hapludalfs","Coarse-loamy, mixed, superactive, mesic Typic Hapludalfs","well",15,91,250,11,80.8,13.56,5.64,1.375,7.91999983787537,6.31600017547607,19.26,81.4666666666667,11.6466666666667,6.88666666666667,0.958333333333333,15.4299998227507,"none",25,0,"outwash & outwash",NA,"outwash plain","no","no",250,"12-GRR Grand Rapids, Michigan","R111CY001IN"
119165,"111C",NA,"Bronson",1507003,"IN087","Lagrange County, Indiana",272592,272592,"94n9","Brady sandy loam",17.908101091471,FALSE,4,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-GRR Grand Rapids, Michigan",NA
119165,"111C",NA,"Gilford",237663,"IN087","Lagrange County, Indiana",272592,272592,"94n9","Brady sandy loam",17.908101091471,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-GRR Grand Rapids, Michigan",NA
119165,"111C",NA,"Sebewa",237664,"IN087","Lagrange County, Indiana",272592,272592,"94n9","Brady sandy loam",17.908101091471,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-GRR Grand Rapids, Michigan",NA
119165,"111C",NA,"Brady",237662,"IN087","Lagrange County, Indiana",272592,272592,"94n9","Brady sandy loam",17.908101091471,TRUE,90,"alfisols","aquollic hapludalfs","Coarse-loamy, mixed, active, mesic Aquollic Hapludalfs","somewhat poorly",1,135,250,9.62,69.18,19.84,10.98,1.325,7.59999990463257,6.35199995040894,12.54,71.06,17.14,11.8,0.941666666666667,19.9499999452382,"none",23,0,"outwash & outwash",NA,"outwash plain","no","no",50,"12-GRR Grand Rapids, Michigan","F111CY009IN"
119170,"111C",NA,"Conover",237673,"IN087","Lagrange County, Indiana",272597,272597,"94ng","Conover loam, 0 to 3 percent slopes",17.9516216206731,TRUE,90,"alfisols","udollic endoaqualfs","Fine-loamy, mixed, active, mesic Udollic Endoaqualfs","somewhat poorly",2,81,250,6.38,47.62,34.64,17.74,2.015,9.23999980092049,6.21000019073486,9.46,42.54,36.1466666666667,21.3133333333333,1.17166666666667,22.7899996712804,"none",23,0,"till, unspecified",NA,"moraine","no","no",50,"12-FIN Findlay, Ohio","R111CY006IN"
119170,"111C",NA,"Whitaker",1507021,"IN087","Lagrange County, Indiana",272597,272597,"94ng","Conover loam, 0 to 3 percent slopes",17.9516216206731,FALSE,7,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-FIN Findlay, Ohio",NA
119170,"111C",NA,"Rensselaer",237674,"IN087","Lagrange County, Indiana",272597,272597,"94ng","Conover loam, 0 to 3 percent slopes",17.9516216206731,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-FIN Findlay, Ohio",NA
119174,"111C",NA,"Haskins",237678,"IN087","Lagrange County, Indiana",272601,272601,"94nl","Haskins loam, 0 to 3 percent slopes",18.0162361099722,TRUE,90,"alfisols","aeric epiaqualfs","Fine-loamy, mixed, active, mesic Aeric Epiaqualfs","somewhat poorly",2,89,250,5.94,47.6,34.12,18.28,1.25,7.65999989211559,6.33000019073486,4.01333333333333,39.0333333333333,34.9533333333333,26.0133333333333,0.916666666666667,17.3899999335408,"none",20,0,"glaciolacustrine deposits & till, unspecified",NA,"lake plain & till plain","no","no",50,"12-FIN Findlay, Ohio","R111CY006IN"
119174,"111C",NA,"Blount",1507023,"IN087","Lagrange County, Indiana",272601,272601,"94nl","Haskins loam, 0 to 3 percent slopes",18.0162361099722,FALSE,7,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-FIN Findlay, Ohio",NA
119174,"111C",NA,"Pewamo",237679,"IN087","Lagrange County, Indiana",272601,272601,"94nl","Haskins loam, 0 to 3 percent slopes",18.0162361099722,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-FIN Findlay, Ohio",NA
119175,"111C",NA,"Conover",1507024,"IN087","Lagrange County, Indiana",272602,272602,"94nm","Hillsdale sandy loam, 0 to 2 percent slopes",17.9462939551826,FALSE,7,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-FIN Findlay, Ohio",NA
119175,"111C",NA,"Rensselaer",237681,"IN087","Lagrange County, Indiana",272602,272602,"94nm","Hillsdale sandy loam, 0 to 2 percent slopes",17.9462939551826,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-FIN Findlay, Ohio",NA
119175,"111C",NA,"Hillsdale",237680,"IN087","Lagrange County, Indiana",272602,272602,"94nm","Hillsdale sandy loam, 0 to 2 percent slopes",17.9462939551826,TRUE,90,"alfisols","typic hapludalfs","Coarse-loamy, mixed, active, mesic Typic Hapludalfs","well",2,250,250,5,69.06,24.72,6.22,1.875,7.36000022292137,5.96000019073486,5,70.2,23.0133333333333,6.78666666666667,1.125,20.8199999928474,"none",25,0,"till, unspecified",NA,"till plain & moraine","no","no",250,"12-FIN Findlay, Ohio","R111CY006IN"
119176,"111C",NA,"Hillsdale",237682,"IN087","Lagrange County, Indiana",272603,272603,"94nn","Hillsdale sandy loam, 2 to 6 percent slopes",17.9380741884596,TRUE,100,"alfisols","typic hapludalfs","Coarse-loamy, mixed, active, mesic Typic Hapludalfs","well",5,250,250,5,69.06,24.72,6.22,1.875,7.36000022292137,5.96000019073486,5,70.2,23.0133333333333,6.78666666666667,1.125,20.8199999928474,"none",25,0,"till, unspecified",NA,"moraine & till plain","no","no",250,"12-FIN Findlay, Ohio","F111CY007IN"
119177,"111C",NA,"Hillsdale",237683,"IN087","Lagrange County, Indiana",272604,272604,"94np","Hillsdale sandy loam, 6 to 12 percent slopes",17.9556321918428,TRUE,100,"alfisols","typic hapludalfs","Coarse-loamy, mixed, active, mesic Typic Hapludalfs","well",9,250,250,5,69.06,24.72,6.22,1.875,7.36000022292137,5.96000019073486,5,70.2,23.0133333333333,6.78666666666667,1.125,20.8199999928474,"none",25,0,"till, unspecified",NA,"moraine & till plain","no","no",250,"12-FIN Findlay, Ohio","F111CY007IN"
119178,"111C",NA,"Brady",1507026,"IN087","Lagrange County, Indiana",272605,272605,"94nq","Homer sandy loam",17.9538147691524,FALSE,7,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-GRR Grand Rapids, Michigan",NA
119178,"111C",NA,"Homer",237684,"IN087","Lagrange County, Indiana",272605,272605,"94nq","Homer sandy loam",17.9538147691524,TRUE,90,"alfisols","aeric endoaqualfs","Fine-loamy over sandy or sandy-skeletal, mixed, active, mesic Aeric Endoaqualfs","somewhat poorly",1,76,250,12.08,51.2,28.06,20.74,1.25,8.60999999940395,6.59,24.6666666666667,70.5066666666667,15.9,13.5933333333333,0.916666666666667,14.4699999652803,"none",20,0,"outwash & outwash","limestone","outwash plain","no","no",50,"12-GRR Grand Rapids, Michigan","F111CY009IN"
119178,"111C",NA,"Sebewa",237685,"IN087","Lagrange County, Indiana",272605,272605,"94nq","Homer sandy loam",17.9538147691524,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-GRR Grand Rapids, Michigan",NA
119182,"111C",NA,"Wawasee",1507027,"IN087","Lagrange County, Indiana",272609,272609,"94nv","Martinsville sandy loam, 1 to 6 percent slopes",18.0511787137271,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-FIN Findlay, Ohio",NA
119182,"111C",NA,"Martinsville",237689,"IN087","Lagrange County, Indiana",272609,272609,"94nv","Martinsville sandy loam, 1 to 6 percent slopes",18.0511787137271,TRUE,90,"alfisols","typic hapludalfs","Fine-loamy, mixed, active, mesic Typic Hapludalfs","well",4,147,250,6,56.38,28.34,15.28,1.325,7.45999993383884,6.52200016021729,6,53.0533333333333,26.7866666666667,20.16,0.941666666666667,21.3100000023842,"none",23,0,"outwash",NA,"outwash plain","no","no",250,"12-FIN Findlay, Ohio","R111CY010IN"
119182,"111C",NA,"Metea",1507028,"IN087","Lagrange County, Indiana",272609,272609,"94nv","Martinsville sandy loam, 1 to 6 percent slopes",18.0511787137271,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-FIN Findlay, Ohio",NA
119183,"111C",NA,"Martisco",237690,"IN087","Lagrange County, Indiana",272610,272610,"94nw","Martisco muck",17.9405930168174,TRUE,100,"inceptisols","histic humaquepts","Fine-silty, carbonatic, mesic Histic Humaquepts","very poorly",1,31,250,0,6.46,24.7,6.84,50.3,12.4000001847744,7.4180001449585,0,13.4866666666667,51.5666666666667,14.28,23.4333333333333,12.4000001847744,"none",203,0,"organic, herbaceous material & marl",NA,"depression & till plain & outwash plain & lake plain","yes","no",0,"12-FIN Findlay, Ohio","R111CY013IN"
119184,"111C",NA,"Metea",237691,"IN087","Lagrange County, Indiana",272611,272611,"94nx","Metea loamy sand, 2 to 6 percent slopes",17.9318015926632,TRUE,100,"alfisols","arenic hapludalfs","Loamy, mixed, active, mesic Arenic Hapludalfs","well",4,140,250,0,81,15,4,0.595,4.1900000423193,6.66200010299683,4.62,60.0733333333333,23.62,16.3066666666667,0.651666666666667,13.0499999634922,"none",0,0,"outwash & till, unspecified",NA,"till plain & moraine","no","no",250,"12-FIN Findlay, Ohio","R111CY006IN"
119185,"111C",NA,"Metea",237692,"IN087","Lagrange County, Indiana",272612,272612,"94ny","Metea loamy sand, 6 to 12 percent slopes",17.944400214906,TRUE,100,"alfisols","arenic hapludalfs","Loamy, mixed, active, mesic Arenic Hapludalfs","well",9,140,250,0,81,15,4,0.595,4.1900000423193,6.66200010299683,4.62,60.0733333333333,23.62,16.3066666666667,0.651666666666667,13.0499999634922,"none",0,0,"outwash & till, unspecified",NA,"moraine & till plain","no","no",250,"12-FIN Findlay, Ohio","F111CY007IN"
119186,"111C",NA,"Morley",237693,"IN087","Lagrange County, Indiana",272613,272613,"94nz","Morley loam, 2 to 6 percent slopes, eroded",17.9823834526275,TRUE,100,"alfisols","oxyaquic hapludalfs","Fine, illitic, mesic Oxyaquic Hapludalfs","moderately well",4,66,250,6.08,26.08,40.72,33.2,1.2,6.6199998408556,6.72,5.36,23.1466666666667,42.9333333333333,33.92,0.9,9.41999980807304,"none",18,0,"till, unspecified","calcareous shale","moraine & till plain","no","no",100,"12-FIN Findlay, Ohio","R111CY006IN"
119188,"111C",NA,"Pewamo",237697,"IN087","Lagrange County, Indiana",272615,272615,"94p1","Nappanee silt loam, 0 to 3 percent slopes",18.0425231297811,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-FIN Findlay, Ohio",NA
119188,"111C",NA,"Nappanee",237696,"IN087","Lagrange County, Indiana",272615,272615,"94p1","Nappanee silt loam, 0 to 3 percent slopes",18.0425231297811,TRUE,90,"alfisols","aeric epiaqualfs","Fine, illitic, mesic Aeric Epiaqualfs","somewhat poorly",2,81,250,6.12,18.2,47.24,34.56,1.45,8.73999971151352,6.58000019073486,5.37333333333333,17.4466666666667,41.3333333333333,41.22,0.983333333333333,14.1499995328486,"none",20,0,"lacustrine deposits & till, unspecified",NA,"till plain","no","no",50,"12-FIN Findlay, Ohio","R111CY006IN"
119188,"111C",NA,"Blount",1507029,"IN087","Lagrange County, Indiana",272615,272615,"94p1","Nappanee silt loam, 0 to 3 percent slopes",18.0425231297811,FALSE,7,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-FIN Findlay, Ohio",NA
119194,"111C",NA,"Hillsdale",237705,"IN087","Lagrange County, Indiana",272621,272621,"94p7","Oshtemo-Hillsdale-Chelsea complex, 3 to 6 percent slopes",17.8856636959635,TRUE,35,"alfisols","typic hapludalfs","Coarse-loamy, mixed, active, mesic Typic Hapludalfs","well",4,250,250,5,69.06,24.72,6.22,1.875,7.36000022292137,5.96000019073486,5,70.2,23.0133333333333,6.78666666666667,1.125,20.8199999928474,"none",25,0,"till, unspecified",NA,"outwash plain & moraine","no","no",250,"12-GRR Grand Rapids, Michigan","R111CY006IN"
119194,"111C",NA,"Oshtemo",237704,"IN087","Lagrange County, Indiana",272621,272621,"94p7","Oshtemo-Hillsdale-Chelsea complex, 3 to 6 percent slopes",17.8856636959635,TRUE,45,"alfisols","typic hapludalfs","Coarse-loamy, mixed, active, mesic Typic Hapludalfs","well",4,135,250,10.02,74.22,15.38,10.4,0.98,5.85000009834766,6.33799989700317,21.2133333333333,74.0666666666667,15.1333333333333,10.8,0.826666666666667,17.3199999947101,"none",0,0,"outwash & outwash",NA,"moraine & outwash plain","no","no",250,"12-GRR Grand Rapids, Michigan","R111CY001IN"
119194,"111C",NA,"Chelsea",237706,"IN087","Lagrange County, Indiana",272621,272621,"94p7","Oshtemo-Hillsdale-Chelsea complex, 3 to 6 percent slopes",17.8856636959635,TRUE,20,"entisols","lamellic udipsamments","Mixed, mesic Lamellic Udipsamments","excessively",4,250,250,0,90.5,6,3.5,0.75,3.24999997392297,6.5,0,91.5,4,4.5,0.416666666666667,8.25000004842877,"none",0,0,"eolian sands",NA,"outwash plain & moraine","no","no",250,"12-GRR Grand Rapids, Michigan","R111CY001IN"
119195,"111C",NA,"Oshtemo",237707,"IN087","Lagrange County, Indiana",272622,272622,"94p8","Oshtemo-Hillsdale-Chelsea complex, 6 to 12 percent slopes",17.8708461396275,TRUE,45,"alfisols","typic hapludalfs","Coarse-loamy, mixed, active, mesic Typic Hapludalfs","well",9,135,250,10.02,74.22,15.38,10.4,0.98,5.85000009834766,6.33799989700317,21.2133333333333,74.0666666666667,15.1333333333333,10.8,0.826666666666667,17.3199999947101,"none",0,0,"outwash & outwash",NA,"outwash plain & moraine","no","no",250,"12-GRR Grand Rapids, Michigan","R111CY001IN"
119195,"111C",NA,"Chelsea",237709,"IN087","Lagrange County, Indiana",272622,272622,"94p8","Oshtemo-Hillsdale-Chelsea complex, 6 to 12 percent slopes",17.8708461396275,TRUE,20,"entisols","lamellic udipsamments","Mixed, mesic Lamellic Udipsamments","excessively",9,250,250,0,90.5,6,3.5,0.75,3.24999997392297,6.5,0,91.5,4,4.5,0.416666666666667,8.25000004842877,"none",0,0,"eolian sands",NA,"outwash plain & moraine","no","no",250,"12-GRR Grand Rapids, Michigan","R111CY001IN"
119195,"111C",NA,"Hillsdale",237708,"IN087","Lagrange County, Indiana",272622,272622,"94p8","Oshtemo-Hillsdale-Chelsea complex, 6 to 12 percent slopes",17.8708461396275,TRUE,35,"alfisols","typic hapludalfs","Coarse-loamy, mixed, active, mesic Typic Hapludalfs","well",9,250,250,5,69.06,24.72,6.22,1.875,7.36000022292137,5.96000019073486,5,70.2,23.0133333333333,6.78666666666667,1.125,20.8199999928474,"none",25,0,"till, unspecified",NA,"outwash plain & moraine","no","no",250,"12-GRR Grand Rapids, Michigan","F111CY007IN"
119197,"111C",NA,"Sebewa",237713,"IN087","Lagrange County, Indiana",272624,272624,"94pb","Parr loam, 0 to 2 percent slopes",18.0456982261927,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-FIN Findlay, Ohio",NA
119197,"111C",NA,"Parr",237711,"IN087","Lagrange County, Indiana",272624,272624,"94pb","Parr loam, 0 to 2 percent slopes",18.0456982261927,TRUE,90,"mollisols","typic argiudolls","Fine-loamy, mixed, active, mesic Typic Argiudolls","well",1,84,250,8,41.92,37.68,20.4,3.59,11.3200002014637,6.31600017547607,9.32,42.84,36.96,20.2,1.7,21.3600001037121,"none",36,0,"till, unspecified",NA,"till plain","no","no",250,"12-FIN Findlay, Ohio","R111CY006IN"
119197,"111C",NA,"Wawasee",1507031,"IN087","Lagrange County, Indiana",272624,272624,"94pb","Parr loam, 0 to 2 percent slopes",18.0456982261927,FALSE,4,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-FIN Findlay, Ohio",NA
119197,"111C",NA,"Rensselaer",237712,"IN087","Lagrange County, Indiana",272624,272624,"94pb","Parr loam, 0 to 2 percent slopes",18.0456982261927,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-FIN Findlay, Ohio",NA
119198,"111C",NA,"Pewamo",237714,"IN087","Lagrange County, Indiana",272625,272625,"94pc","Pewamo silty clay loam",18.0243866834363,TRUE,100,"mollisols","typic argiaquolls","Fine, mixed, active, mesic Typic Argiaquolls","poorly",2,112,250,2,14.92,48.08,37,3.58,8.89999970793724,6.80000019073486,4,17.16,45.6133333333333,37.2266666666667,2.10666666666667,18.8599994406104,"none",30,0,"till, unspecified",NA,"depression & till plain","yes","no",25,"12-FIN Findlay, Ohio","R111CY005IN"
119203,"111C",NA,"Pewamo",237721,"IN087","Lagrange County, Indiana",272630,272630,"94pj","Rawson sandy loam, 2 to 6 percent slopes",17.959477133482,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-FIN Findlay, Ohio",NA
119203,"111C",NA,"Rawson",237720,"IN087","Lagrange County, Indiana",272630,272630,"94pj","Rawson sandy loam, 2 to 6 percent slopes",17.959477133482,TRUE,90,"alfisols","oxyaquic hapludalfs","Fine-loamy, mixed, active, mesic Oxyaquic Hapludalfs","moderately well",4,64,250,9.26,56.78,24.72,18.5,1.905,7.65999989211559,6.39799993515015,6.14,42.26,26.52,31.22,1.135,15.6399999260902,"none",33,0,"outwash & till, unspecified",NA,"till plain","no","no",100,"12-FIN Findlay, Ohio","R111CY006IN"
